,Code,Area,Value
3826,E09000002,Barking and Dagenham,"300,000"
3827,E09000003,Barnet,"482,951"
3828,E09000004,Bexley,"330,000"
3829,E09000005,Brent,"450,000"
3830,E09000006,Bromley,"425,000"
3831,E09000007,Camden,"717,500"
3825,E09000001,City of London,"831,400"
3832,E09000008,Croydon,"345,000"
3833,E09000009,Ealing,"465,050"
3861,E12000004,East Midlands,"172,000"
3863,E12000006,East of England,"265,000"
3834,E09000010,Enfield,"400,000"
3867,E92000001,England,"225,000"
3869,K04000070,England And Wales,"220,000"
3835,E09000011,Greenwich,"401,000"
3836,E09000012,Hackney,"530,000"
3837,E09000013,Hammersmith and Fulham,"740,000"
3838,E09000014,Haringey,"487,500"
3839,E09000015,Harrow,"475,000"
3840,E09000016,Havering,"340,000"
3841,E09000017,Hillingdon,"409,995"
3842,E09000018,Hounslow,"380,000"
3843,E09000019,Islington,"625,000"
3844,E09000020,Kensington and Chelsea,"1,200,000"
3845,E09000021,Kingston upon Thames,"472,000"
3846,E09000022,Lambeth,"510,000"
3847,E09000023,Lewisham,"394,720"
3864,E12000007,London,"445,000"
3848,E09000024,Merton,"445,000"
3849,E09000025,Newham,"367,725"
3858,E12000001,North East,"135,000"
3859,E12000002,North West,"151,950"
3850,E09000026,Redbridge,"400,000"
3851,E09000027,Richmond upon Thames,"610,000"
3865,E12000008,South East,"302,000"
3866,E12000009,South West,"234,069"
3852,E09000028,Southwark,"520,000"
3853,E09000029,Sutton,"353,500"
3854,E09000030,Tower Hamlets,"475,000"
3868,W92000073,Wales,"150,000"
3855,E09000031,Waltham Forest,"430,000"
3856,E09000032,Wandsworth,"640,000"
3862,E12000005,West Midlands,"174,995"
3857,E09000033,Westminster,"1,070,000"
3860,E12000003,Yorkshire And The Humber,"152,500"
